prior_std,recovered_prior_std,likelihood_std,recovered_likelihood_std (with prior),recovered_likelihood_std (without prior),initial_nll (with prior),recovered_nll (with prior),recovered_nll (without prior),AIC (with prior),AIC (without prior),BIC (with prior),BIC (without prior)
2,2.382336945375816,12,252.33322279963392,3.0862597963658716,93.20093330105666,91.47915685649613,101.83593974844223,186.95831371299226,205.67187949688446,190.33607262122013,207.3607589509984
14,500.0,2,1.864147917025585,1.8641350726840622,83.33462950627515,81.67033511154597,81.66943090852217,167.34067022309193,165.33886181704435,170.7184291313198,167.02774127115828
14,15.477352811242524,7,7.2137534137562085,6.8483571900066496,131.97342320289076,131.86520803882524,133.71789483723165,267.7304160776505,269.4357896744633,271.10817498587835,271.12466912857724
7,6.908326806587059,2,1.8841448528629385,1.8841443158656948,80.79453147471592,80.66153471100391,82.09649339793343,165.32306942200782,166.19298679586686,168.70082833023568,167.8818662499808
15,13.450826411074615,4,3.682077988291362,3.7114688958580837,107.72573496284105,107.45140433774758,109.21464842896657,218.90280867549515,220.42929685793314,222.280567583723,222.11817631204707
4,3.1834509284131727,2,1.8031529896661544,1.8708284779336501,75.60805752430053,74.77387148023507,81.8128006980948,153.54774296047015,165.6256013961896,156.925501868698,167.31448085030354
4,3.719621171061097,16,9.200052587368289,5.029909732971894,106.95132701312443,106.27441465164307,121.37362924285743,216.54882930328614,244.74725848571487,219.926588211514,246.4361379398288
9,10.338505136785791,7,7.226321355895308,6.79154421753584,128.27211481699098,127.91053238592558,133.3846433754257,259.8210647718512,268.7692867508514,263.19882368007904,270.4581662049653
16,15.28730972189556,11,9.87939205607291,9.695357259104115,141.73971340835732,141.3957242058174,147.62343695492677,286.7914484116348,297.24687390985355,290.16920731986266,298.9357533639675
17,18.74471834161664,1,0.7749763274603385,0.7747280469107635,48.73054013200766,46.520269758124634,46.54160248842699,97.04053951624927,95.08320497685398,100.41829842447714,96.77208443096791
3,2.7498218373843124,6,7.287703463993698,3.6159372969169126,94.75860629307155,94.55684875720293,108.17158152720702,193.11369751440586,218.34316305441405,196.49145642263372,220.03204250852798
16,19.91943373015023,6,6.031741405784951,5.9181921753375155,127.15024746493656,126.88446969546352,127.87878317264834,257.768939390927,257.7575663452967,261.14669829915493,259.44644579941064
13,11.693874591666319,19,356.7675784613024,14.938330517573483,155.63239790897444,155.09326400109137,164.91438942348518,314.18652800218274,331.82877884697035,317.5642869104106,333.5176583010843
10,9.745975696920683,19,15.504537096865349,11.77497093989614,141.513198548429,141.1720387341032,155.39659640676342,286.3440774682064,312.79319281352684,289.7218363764343,314.4820722676408
12,166.7590031160077,1,1.0124414444723737,1.012422910026194,57.6894631443447,57.25287204100091,57.25139371065481,118.50574408200183,116.50278742130962,121.8835029902297,118.19166687542355
7,6.404540536387349,12,12.564127995584975,7.924647865436316,126.6069874413871,126.41808039781421,139.55664279767484,256.8361607956284,281.1132855953497,260.2139197038563,282.8021650494636
10,10.758975719324987,12,13.863819346956898,10.863964030657833,142.84301092340434,142.35897333583688,152.17547065668364,288.71794667167376,306.3509413133673,292.0957055799016,308.0398207674812
8,8.249541334636225,11,11.338967671870266,8.573213836587158,132.70553780389474,132.66734167815446,142.70324945256277,269.3346833563089,287.40649890512555,272.7124422645368,289.0953783592395
9,10.68357955094487,7,5.669834957413838,5.359572167861658,122.78374921433965,121.20100136212338,123.91289780288562,246.40200272424676,249.82579560577125,249.77976163247462,251.51467505988518
