subjID,oriRef2,prior_std,likelihood_std,likelihood_std_no_prior,nll_prior,nll_no_prior,AIC (with prior),AIC (without prior),BIC (with prior),BIC (without prior)
1,0,1238.0645326837594,5.742597757047349,5.742386633178996,126.673142722245,126.67253530025462,257.34628544449004,255.34507060050925,260.7240443527179,257.0339500546232
1,45,3928.772417615464,9.473321042940956,9.473316893417504,143.0293089341253,143.02925652129034,290.0586178682506,288.05851304258067,293.3857411605099,289.72207468871034
1,90,8660.123531976647,4.806356122186118,4.8062453764509465,119.55420249975086,119.5541936787424,243.10840499950172,241.1083873574848,246.48616390772958,242.79726681159872
1,135,1044.367211983917,7.302728114666453,7.302391595746955,136.28582636509128,136.28564661535603,276.57165273018256,274.57129323071206,279.9494116384104,276.260172684826
2,0,820.551909494693,5.818187522107037,5.8180750687607565,127.19721546151632,127.19632131535263,258.39443092303264,256.39264263070527,261.7721898312605,258.0815220848192
2,45,17.925920643517525,9.539785884164916,8.528985930348254,138.43926313882173,138.93394817422697,280.87852627764346,279.86789634845394,284.20564956990273,281.5314579945836
2,90,918.160441913765,4.207179438328864,4.207136273421173,114.22935369924917,114.22883411978319,232.45870739849835,230.45766823956637,235.8364663067262,232.1465476936803
2,135,30.67316792843077,7.064510880494504,6.888396617225109,133.9271625292414,133.95107182930593,271.8543250584828,269.90214365861186,275.23208396671066,271.5910231127258
3,0,2580.8203339847064,5.843742194548842,5.843800549233101,127.37293898736348,127.37279304852309,258.74587797472697,256.74558609704616,262.1236368829548,258.43446555116014
3,45,576.159510561217,8.34503209763649,8.344158570454205,141.6203982351142,141.62001529313653,287.2407964702284,285.24003058627306,290.6185553784563,286.928910040387
3,90,19220.924994705943,3.498965875068989,3.4990341721291025,98.84274917032116,98.8427486660915,201.6854983406423,199.685497332183,204.90733416593076,201.29641524482722
3,135,32.725712583742826,9.921674814640538,9.507086559369926,143.11815260726652,143.16804714276583,290.23630521453305,288.33609428553166,293.5634285067923,289.9996559316613
4,0,1988.461992172843,5.308031913646048,5.308013769537587,123.52635810784497,123.526242526705,251.05271621568994,249.05248505341,254.4304751239178,250.74136450752394
4,45,17.27352983610365,9.39389148616976,8.361620278560634,127.06025713056259,127.53326021559528,258.1205142611252,257.06652043119055,261.2875521380374,258.65003936964666
4,90,1098.1930808014977,5.947646651976025,5.947687940759058,128.07837980929227,128.07764844745546,260.15675961858454,258.1552968949109,263.5345185268124,259.84417634902485
4,135,23.833956477387613,10.072245912920154,9.321736122396587,138.56934471091958,138.7489160920986,281.13868942183916,279.4978321841972,284.41386174129195,281.13541834392356
